id,user,uid,version,changeset,timestamp
27440135,nivram117,3529033,6,85984855,2020-05-30T15:15:41Z
27695280,ekkakkas,8476260,7,66186541,2019-01-10T08:13:41Z
27861856,Verdy_p,90780,8,82624908,2020-03-25T19:06:29Z
27864487,Verdy_p,90780,5,82624908,2020-03-25T19:06:29Z
27864488,wuff57,2583033,2,50522675,2017-07-24T09:50:27Z
27865679,badpap,163973,3,18946804,2013-11-17T05:16:17Z
27865680,zerpou,1238664,4,17469964,2013-08-23T13:29:07Z
27920192,Pa413,688484,7,68977309,2019-04-07T14:09:04Z
27920196,courtieux,437839,13,59224313,2018-05-23T20:59:16Z
27920197,Stéphane Péchard,98682,3,3601895,2010-01-12T10:41:02Z
28049282,RealJey,2199050,12,26192342,2014-10-19T13:24:51Z
28049286,krysst,16038,1,594461,2008-10-27T15:02:35Z
28049288,Globeur,6540509,7,58272291,2018-04-20T18:33:02Z
28049289,krysst,16038,5,13253705,2012-09-26T00:26:33Z
28049290,fk13,3152918,3,38536083,2016-04-13T19:49:54Z
28049291,krysst,16038,8,733167,2008-11-10T23:05:16Z
28052659,Jean François Vole,9451247,14,69280171,2019-04-16T17:24:26Z
28052662,freayd,1879520,11,49480203,2017-06-12T19:58:52Z
28052663,LePetitTim,4641577,10,58965086,2018-05-14T20:58:05Z
28052665,RealJey,2199050,8,26191379,2014-10-19T12:30:08Z
28052666,RealJey,2199050,10,26190172,2014-10-19T11:01:20Z
28052668,GeorgeKaplan,1198089,6,25434091,2014-09-14T15:11:34Z
28052669,Globeur,6540509,8,58390820,2018-04-24T22:18:52Z
28052670,RealJey,2199050,6,26176984,2014-10-18T19:22:46Z
28052673,tabltrai,133254,4,3762721,2010-01-31T20:12:29Z
28052674,FrViPofm,107257,6,49645678,2017-06-18T23:28:39Z
28052675,GeorgeKaplan,1198089,5,25434091,2014-09-14T15:11:41Z
28052676,Georgos20,6849485,10,87619356,2020-07-06T21:01:29Z
28052677,Stephixus,318501,6,49078610,2017-05-29T16:52:48Z
28052678,FrViPofm,107257,7,49645678,2017-06-18T23:28:40Z
28052679,Globeur,6540509,14,58270209,2018-04-20T17:00:50Z
28052680,Eric V,163480,8,34300147,2015-09-28T10:13:56Z
28052683,tabltrai,133254,4,3762721,2010-01-31T20:12:34Z
28052684,Stephixus,318501,6,49078610,2017-05-29T16:51:11Z
28052685,nivram117,3529033,15,86122827,2020-06-03T08:40:24Z
28052686,nivram117,3529033,12,85488033,2020-05-20T09:10:03Z
28052689,Jean François Vole,9451247,9,69280171,2019-04-16T17:24:26Z
28052690,nivram117,3529033,9,85435914,2020-05-19T10:46:27Z
28052691,Globeur,6540509,8,58270209,2018-04-20T17:00:51Z
28052692,freayd,1879520,8,49416483,2017-06-10T09:44:05Z
28052693,freayd,1879520,8,49416483,2017-06-10T09:44:05Z
28052694,Globeur,6540509,8,58270209,2018-04-20T17:00:51Z
28052695,nivram117,3529033,9,85435914,2020-05-19T10:46:27Z
28052696,GeorgeKaplan,1198089,8,25434091,2014-09-14T15:11:50Z
28052700,Eric V,163480,7,34300147,2015-09-28T10:06:55Z
28052701,Neodoo,3346899,5,34962666,2015-10-30T00:12:54Z
28052704,GeorgeKaplan,1198089,5,25434091,2014-09-14T15:11:52Z
28052705,FrViPofm,107257,6,49645678,2017-06-18T23:28:40Z
28052706,zerpou,1238664,7,34533890,2015-10-09T16:50:44Z
28052707,GeorgeKaplan,1198089,5,25434091,2014-09-14T15:11:41Z
28052708,nivram117,3529033,7,86122827,2020-06-03T08:40:24Z
28052709,nivram117,3529033,9,86122827,2020-06-03T08:40:24Z
28052710,Stephixus,318501,8,49078610,2017-05-29T16:44:35Z
28052712,Stephixus,318501,7,47171301,2017-03-26T10:02:25Z
28052713,Neodoo,3346899,6,34962637,2015-10-30T00:09:40Z
28052716,nivram117,3529033,4,86124247,2020-06-03T09:03:03Z
28052717,homer__simpsons,1795336,6,47025875,2017-03-20T22:36:03Z
28052719,GeorgeKaplan,1198089,4,25434091,2014-09-14T15:11:46Z
28052720,Tatooland,5187192,7,91033742,2020-09-17T08:53:43Z
28052723,Marcel Herault,860575,4,17573602,2013-08-29T15:06:35Z
28052724,freayd,1879520,7,49480203,2017-06-12T19:58:52Z
28052725,nivram117,3529033,6,85990296,2020-05-30T18:57:38Z
28052767,nivram117,3529033,6,41858943,2016-09-01T22:29:07Z
28052825,YannickKza,3644553,7,50230423,2017-07-12T13:27:40Z
28052826,krysst,16038,4,3128980,2009-11-16T03:13:58Z
28052828,nivram117,3529033,8,86124247,2020-06-03T09:03:03Z
28052953,Hotbelgo,51650,4,24827875,2014-08-18T09:56:52Z
28052954,nivram117,3529033,6,86123567,2020-06-03T08:52:23Z
28052956,Stephixus,318501,7,49078610,2017-05-29T16:48:19Z
28052957,Stephixus,318501,6,49078610,2017-05-29T16:42:27Z
28052958,nivram117,3529033,7,86122675,2020-06-03T08:37:46Z
28052960,Stephixus,318501,8,49078610,2017-05-29T16:45:51Z
28053732,Pa413,688484,8,67403251,2019-02-20T19:09:09Z
28053733,quicky,99151,6,10951362,2012-03-12T06:30:58Z
28053734,nivram117,3529033,8,85436183,2020-05-19T10:50:37Z
28053735,quicky,99151,7,10951362,2012-03-12T06:30:58Z
28053736,Pa413,688484,7,67403251,2019-02-20T19:11:14Z
28053737,freayd,1879520,6,49422952,2017-06-10T15:19:15Z
28053738,freayd,1879520,7,49422952,2017-06-10T15:19:15Z
28053739,JLZIMMERMANN,188930,10,58889205,2018-05-11T20:45:10Z
28053740,quicky,99151,5,10951362,2012-03-12T06:30:57Z
28053745,Globeur,6540509,10,58270451,2018-04-20T17:10:19Z
28053747,JLZIMMERMANN,188930,6,58879407,2018-05-11T13:49:01Z
28053750,FRichard44,2516858,19,72455438,2019-07-20T09:23:34Z
28053751,freayd,1879520,5,49422952,2017-06-10T15:19:15Z
28053752,freayd,1879520,4,49422952,2017-06-10T15:19:15Z
28053753,freayd,1879520,4,49422952,2017-06-10T15:19:16Z
28053754,JLZIMMERMANN,188930,8,58888527,2018-05-11T20:15:07Z
28053755,Globeur,6540509,7,58268989,2018-04-20T16:18:28Z
28053756,JLZIMMERMANN,188930,9,58903872,2018-05-12T14:28:10Z
28053757,zerpou,1238664,7,32228386,2015-06-26T16:04:08Z
28053760,JLZIMMERMANN,188930,5,58879354,2018-05-11T13:46:28Z
28053761,JLZIMMERMANN,188930,4,58878329,2018-05-11T13:05:16Z
28053763,Vinny_BX,585741,3,10463048,2012-01-22T10:25:08Z
28053768,Globeur,6540509,7,58390820,2018-04-24T22:18:52Z
28053769,Globeur,6540509,8,58390820,2018-04-24T22:18:52Z
28053771,Globeur,6540509,5,58390820,2018-04-24T22:18:52Z
28053772,Globeur,6540509,6,58390820,2018-04-24T22:18:53Z
28053773,Globeur,6540509,6,58390820,2018-04-24T22:18:53Z
28053774,Globeur,6540509,6,58390820,2018-04-24T22:18:53Z
28053776,Globeur,6540509,6,58390820,2018-04-24T22:18:53Z
28053777,joedal-osm,420883,7,12271606,2012-07-17T20:08:17Z
28053778,cabinetcourbi,6231864,10,72695963,2019-07-26T16:42:50Z
28053779,krysst,16038,6,13486447,2012-10-13T23:34:43Z
28053780,RealJey,2199050,10,24379333,2014-07-27T08:03:23Z
28053781,RealJey,2199050,9,24381046,2014-07-27T09:55:11Z
28053782,freayd,1879520,9,49416483,2017-06-10T09:44:06Z
28053783,freayd,1879520,9,49422952,2017-06-10T15:19:16Z
28053784,quicky,99151,6,10951362,2012-03-12T06:31:08Z
28053785,AmiFritz,172867,6,71664971,2019-06-27T10:19:30Z
28053788,JLZIMMERMANN,188930,15,58903924,2018-05-12T14:29:34Z
28053917,JLZIMMERMANN,188930,6,72673999,2019-07-26T07:59:08Z
28053918,JLZIMMERMANN,188930,5,72673949,2019-07-26T07:57:48Z
28053919,JLZIMMERMANN,188930,6,58879978,2018-05-11T14:08:53Z
28053920,JLZIMMERMANN,188930,5,58889205,2018-05-11T20:45:11Z
28053921,JLZIMMERMANN,188930,4,58889095,2018-05-11T20:39:55Z
28053922,JLZIMMERMANN,188930,6,58879978,2018-05-11T14:08:53Z
28053923,AmiFritz,172867,6,71664971,2019-06-27T10:20:54Z
28053924,zerpou,1238664,4,32228034,2015-06-26T15:42:25Z
28053925,nivram117,3529033,4,85488033,2020-05-20T09:10:03Z
28053926,zerpou,1238664,3,32228034,2015-06-26T15:42:26Z
28053927,quicky,99151,4,10951362,2012-03-12T06:30:57Z
28054261,freayd,1879520,6,49422952,2017-06-10T15:19:16Z
28054263,freayd,1879520,5,49422952,2017-06-10T15:19:16Z
28054264,JLZIMMERMANN,188930,8,58889728,2018-05-11T21:05:47Z
28054265,FRichard44,2516858,7,72455438,2019-07-20T09:23:34Z
28054269,JLZIMMERMANN,188930,4,58902733,2018-05-12T13:37:52Z
28054270,Globeur,6540509,5,58390820,2018-04-24T22:18:53Z
28054272,zerpou,1238664,5,32228034,2015-06-26T15:42:26Z
28054273,zerpou,1238664,3,32228034,2015-06-26T15:42:25Z
28054274,freayd,1879520,3,49422952,2017-06-10T15:19:16Z
28054275,freayd,1879520,4,49422952,2017-06-10T15:19:16Z
28054577,Pa413,688484,7,67403251,2019-02-20T19:18:32Z
